Expsample_ID	Reference_Transcript_ID	Repository_Name	Transcript_Type_Reported	Result_Unit_Reported	Value_Reported	Comments
RAP1_IAA_30M_REP1	YAL026C	Ensembl	mRNA	TPM	1367.400492	
RAP1_UNINDUCED_REP1	YAL026C	Ensembl	mRNA	TPM	1612.939046	
RAP1_UNINDUCED_REP2	YAL026C	Ensembl	mRNA	TPM	1587.089401	
WT_REP1	YAL026C	Ensembl	mRNA	TPM	1065.142603	
WT_REP2	YAL026C	Ensembl	mRNA	TPM	1393.2581	
RAP1_IAA_30M_REP1	HRA1	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	HRA1	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	HRA1	Ensembl	mRNA	TPM	0	
WT_REP1	HRA1	Ensembl	mRNA	TPM	0	
WT_REP2	HRA1	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL025C	Ensembl	mRNA	TPM	1093.386632	
RAP1_UNINDUCED_REP1	YAL025C	Ensembl	mRNA	TPM	1603.323925	
RAP1_UNINDUCED_REP2	YAL025C	Ensembl	mRNA	TPM	1548.14942	
WT_REP1	YAL025C	Ensembl	mRNA	TPM	1529.984968	
WT_REP2	YAL025C	Ensembl	mRNA	TPM	1213.07853	
RAP1_IAA_30M_REP1	YAL024C	Ensembl	mRNA	TPM	523.634463	
RAP1_UNINDUCED_REP1	YAL024C	Ensembl	mRNA	TPM	475.375825	
RAP1_UNINDUCED_REP2	YAL024C	Ensembl	mRNA	TPM	469.315376	
WT_REP1	YAL024C	Ensembl	mRNA	TPM	388.39383	
WT_REP2	YAL024C	Ensembl	mRNA	TPM	494.93147	
RAP1_IAA_30M_REP1	YAL023C	Ensembl	mRNA	TPM	6301.603057	
RAP1_UNINDUCED_REP1	YAL023C	Ensembl	mRNA	TPM	5866.171924	
RAP1_UNINDUCED_REP2	YAL023C	Ensembl	mRNA	TPM	6226.026482	
WT_REP1	YAL023C	Ensembl	mRNA	TPM	4704.88874	
WT_REP2	YAL023C	Ensembl	mRNA	TPM	5199.29133	
RAP1_IAA_30M_REP1	YAL022C	Ensembl	mRNA	TPM	1313.521145	
RAP1_UNINDUCED_REP1	YAL022C	Ensembl	mRNA	TPM	1024.166823	
RAP1_UNINDUCED_REP2	YAL022C	Ensembl	mRNA	TPM	1253.957933	
WT_REP1	YAL022C	Ensembl	mRNA	TPM	914.011791	
WT_REP2	YAL022C	Ensembl	mRNA	TPM	848.425255	
RAP1_IAA_30M_REP1	YAL021C	Ensembl	mRNA	TPM	1977.301676	
RAP1_UNINDUCED_REP1	YAL021C	Ensembl	mRNA	TPM	1671.35822	
RAP1_UNINDUCED_REP2	YAL021C	Ensembl	mRNA	TPM	1707.895391	
WT_REP1	YAL021C	Ensembl	mRNA	TPM	1360.560353	
WT_REP2	YAL021C	Ensembl	mRNA	TPM	1523.232256	
RAP1_IAA_30M_REP1	YAL020C	Ensembl	mRNA	TPM	623.532681	
RAP1_UNINDUCED_REP1	YAL020C	Ensembl	mRNA	TPM	394.655303	
RAP1_UNINDUCED_REP2	YAL020C	Ensembl	mRNA	TPM	460.464655	
WT_REP1	YAL020C	Ensembl	mRNA	TPM	325.130625	
WT_REP2	YAL020C	Ensembl	mRNA	TPM	104.338627	
RAP1_IAA_30M_REP1	YAL019W-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL019W-A	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL019W-A	Ensembl	mRNA	TPM	0	
WT_REP1	YAL019W-A	Ensembl	mRNA	TPM	0	
WT_REP2	YAL019W-A	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL019W	Ensembl	mRNA	TPM	1410.259512	
RAP1_UNINDUCED_REP1	YAL019W	Ensembl	mRNA	TPM	1308.910803	
RAP1_UNINDUCED_REP2	YAL019W	Ensembl	mRNA	TPM	1455.324598	
WT_REP1	YAL019W	Ensembl	mRNA	TPM	1346.829729	
WT_REP2	YAL019W	Ensembl	mRNA	TPM	1161.316698	
RAP1_IAA_30M_REP1	YAL018C	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL018C	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL018C	Ensembl	mRNA	TPM	0	
WT_REP1	YAL018C	Ensembl	mRNA	TPM	0	
WT_REP2	YAL018C	Ensembl	mRNA	TPM	0	
RAP1_IAA_30M_REP1	YAL017W	Ensembl	mRNA	TPM	1133.070394	
RAP1_UNINDUCED_REP1	YAL017W	Ensembl	mRNA	TPM	1097.102481	
RAP1_UNINDUCED_REP2	YAL017W	Ensembl	mRNA	TPM	1042.161292	
WT_REP1	YAL017W	Ensembl	mRNA	TPM	597.63784	
WT_REP2	YAL017W	Ensembl	mRNA	TPM	670.173061	
RAP1_IAA_30M_REP1	YAL016C-B	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP1	YAL016C-B	Ensembl	mRNA	TPM	0	
RAP1_UNINDUCED_REP2	YAL016C-B	Ensembl	mRNA	TPM	0	
